Matrix,Class,Subclass,ID,Terminus,Domain,Definition,Sources
0_Null,Emergence,Dynamisch,N-245,Zero-Inflated Model,MAT,Statistik, die das Schweigen mitberechnet.,
0_Null,Emergence,Dynamisch,N-246,Knockout-Gen (Null-Mut.),PHY,Die Entdeckung der Funktion durch ihr Fehlen.,
0_Null,Emergence,PhÃ¤nomenologisch,N-247,Null-PhÃ¤notyp (Immun.),PHY,Die unsichtbare Abwehrkraft.,
0_Null,Emergence,Dynamisch,N-248,Null-Population,SOC,Der leere Raum fÃ¼r neue Besiedlung.,
0_Null,Emergence,Ontologisch,N-249,Apeiron (Anaximander),PHI,Das Unendliche, aus dem alle GegensÃ¤tze kommen.,
0_Null,Emergence,Ontologisch,N-250,Ex nihilo nihil fit,PHI,Die KausalitÃ¤t der Null (Nichts gebiert nichts).,
0_Null,Emergence,Ontologisch,N-251,Nothingness (Heidegger),PHI,Das Nichts als Schleier des Seins.,
0_Null,Emergence,Paradoxal,N-252,Zero-Energy Universe,PHY,Die Emergenz des Alls aus der Total-Summe Null.,
0_Null,Emergence,Dynamisch,N-253,Singularity (Big Bang 0),PHY,Der punkt unendlicher Dichte bei Volumen Null.,
0_Null,Emergence,Paradoxal,N-254,Black Hole Information 0,PHY,Die vernichtung oder Kodierung des Manifesten.,
0_Null,Emergence,Dynamisch,N-255,Phase Transition Jump 0,PHY,Der sprunghafte Wechsel der Ordnung am Nullpunkt.,
0_Null,Emergence,Paradoxal,N-256,Lithium-7 Anomaly,PHY,Das Fehlen der Materie als Hinweis auf Rel0.,
0_Null,Emergence,Dynamisch,N-257,Hubble Tension Gap,PHY,Die LÃ¼cke in der Expansion als Informationssenke.,
0_Null,Emergence,Dynamisch,N-258,Dark Energy Pressure,PHY,Der Drang des Nichts nach Ausbreitung.,
0_Null,Emergence,Dynamisch,N-259,Cosmic Pulse (Takt 0),PHY,Das Atmen des Universums zwischen 0 und 1.,
0_Null,Emergence,Dynamisch,N-260,Fractal Tensor Closure,MAT,Die SchlieÃŸung der Logik im Selbstbezug.,
0_Null,Emergence,Ontologisch,N-261,Topological Charge Zero,MAT,Symmetrieerhalt trotz topologischer Drehung.,
0_Null,Emergence,Paradoxal,N-262,Gravitational Self-E 0,PHY,Die Masse, die sich selbst weg-rechnet.,
0_Null,Emergence,Paradoxal,N-263,Proton Radius Puzzle 0,PHY,Die InkohÃ¤renz der Messung am Minimalpunkt.,
0_Null,Emergence,Paradoxal,N-264,Muon g-2 Deviation Zero,PHY,Der Bruch der Symmetrie am Mess-Nullpunkt.,
0_Null,Emergence,Paradoxal,N-265,CP Violation Zero Point,PHY,Der Ursprung der Asymmetrie zwischen Materie/Antimaterie.,
0_Null,Emergence,Dynamisch,N-266,Quark-Gluon-Plasma Zero,PHY,Die Ursuppe vor der atomaren Ordnung.,
0_Null,Emergence,Paradoxal,N-267,Neutrino Mass Hierarchy,PHY,Die Ordnung der geisterhaften Massen-Nullen.,
0_Null,Emergence,Paradoxal,N-268,Fine-Tuning Paradox Zero,PHY,Warum das Universum haarscharf an der Null bleibt.,
0_Null,Emergence,Dynamisch,N-269,Quantum Decoherence 0,PHY,Die RÃ¼ckkehr der Information in das Reservoir.,
0_Null,Emergence,Ontologisch,N-270,Berry Phase Geometric 0,MAT,Die Spur des Nichts nach einer Rundreise.,
0_Null,Emergence,Dynamisch,N-271,Casimir Torque Zero,PHY,Die Kraft des Schweigens in der Mechanik.,
0_Null,Emergence,Paradoxal,N-272,Unruh Effect Baseline 0,PHY,Warum Beschleunigung die Null erhitzt.,
0_Null,Emergence,Dynamisch,N-273,Hawking Radiation Min 0,PHY,Das Ausdampfen des Lochs in das Vakuum.,
0_Null,Emergence,Paradoxal,N-274,Entropic Force Origin 0,PHY,Schwerkraft als Effekt des informellen Gradienten.,
0_Null,Emergence,Ontologisch,N-275,The Fractal Tensor,MAT,Die mathematische Einheit von Allem und Nichts.,
0_Null,Emergence,Dynamisch,N-276,Sudden Death (System),SOC,Der unvermittelte Kollaps stabiler Strukturen.,
0_Null,Emergence,Dynamisch,N-277,Flash Crash (Markt),ECO,Ein Information-Vortex, der Werte nullt.,
0_Null,Emergence,PhÃ¤nomenologisch,N-278,Kognitiver Reset,PSY,Die plÃ¶tzliche Einsicht (Aha-Moment) aus der Stille.,
0_Null,Emergence,PhÃ¤nomenologisch,N-279,Epistemischer Bruch,PHI,Die Entdeckung des Unbekannten (Rel0-Zustrom).,
0_Null,Emergence,PhÃ¤nomenologisch,N-280,Tabula Rasa,SOC,Der blanke Geist als Reservoir der Bildung.,
0_Null,Emergence,PhÃ¤nomenologisch,N-281,Innovations-Vakuum,ECO,Der Zustand vor der disruptiven Idee.,
0_Null,Emergence,Dynamisch,N-282,Stille Post (Signal-0),TEC,Die totale Verzerrung wird zur neuen Baseline.,
0_Null,Emergence,Dynamisch,N-283,Echo Chamber Null,SOC,Informationstod durch totale SelbstbestÃ¤tigung.,
0_Null,Emergence,Paradoxal,N-284,Black Swan Event,SOC,Das Unwahrscheinliche emergiert aus der Null.,
0_Null,Emergence,Dynamisch,N-285,Grey Rhino (Ignore 0),SOC,Die ignorierte Baseline, die zur Krise wird.,
0_Null,Emergence,Dynamisch,N-286,Tipping Point (Null),PHY,Der Moment, in dem die Kraft die Baseline verlÃ¤sst.,
0_Null,Emergence,Dynamisch,N-287,Bifurkations-Vakuum,MAT,Die InstabilitÃ¤t vor der Spaltung der Ordnung.,
0_Null,Emergence,Dynamisch,N-288,Attraktor-Zentrum,MAT,Der punkt, an dem die Bewegung zur Ruhe kommt.,
0_Null,Emergence,Dynamisch,N-289,Limit Cycle Reset,MAT,Die RÃ¼ckkehr der Periode auf Start.,
0_Null,Emergence,Dynamisch,N-290,Chaos-Collapse,MAT,Die plÃ¶tzliche Symmetrie im turbulenten Feld.,
0_Null,Emergence,Dynamisch,N-291,Resonanz-Vakuum,PHY,Die AuslÃ¶schung zweier Wellen zur neuen Baseline.,
0_Null,Emergence,Dynamisch,N-292,Phasen-Interferenz 0,PHY,Die destruktive Stille zweier KlÃ¤nge.,
0_Null,Emergence,Dynamisch,N-293,Superposition-Fix,PHY,Die Entscheidung (Kollaps) aus dem Potenzial.,
0_Null,Emergence,Paradoxal,N-294,Delayed Choice Null,PHY,Die nachtrÃ¤gliche Fixierung der Baseline.,
0_Null,Emergence,Paradoxal,N-295,EPR-Kompensation,PHY,Die Fernwirkung zur Erhaltung der Bilanz-Null.,
0_Null,Emergence,Paradoxal,N-296,Bellsche Null-Verletz.,PHY,Der Beweis, dass das Nichts verbunden ist.,
0_Null,Emergence,Ontologisch,N-297,Wheeler-DeWitt 0-LÃ¶sung,PHY,Die Zeitlosigkeit des Universums in der Null-Matrix.,
0_Null,Emergence,Paradoxal,N-298,Holographic Noise 0,PHY,Die UnschÃ¤rfe der Raumzeit am Plancktakt.,
0_Null,Emergence,Paradoxal,N-299,AdS/CFT Correspondence,PHY,Informationstausch zwischen Rand und Leere.,
0_Null,Emergence,Paradoxal,N-300,dS/CFT Horizon Null,PHY,Die Grenze der Wahrnehmung am Ende der Welt.,
0_Null,Emergence,Dynamisch,N-301,PoincarÃ©-Recurrence 0,MAT,Die zyklische Wiederkehr des Nichts.,
0_Null,Emergence,Ontologisch,N-302,PoincarÃ©-Conjecture 0,MAT,Die Kugel als einfachste Null-Struktur.,
0_Null,Emergence,Paradoxal,N-303,Fermat's Last Margin,MAT,Die LÃ¼cke am Rand des Beweises.,
0_Null,Emergence,Paradoxal,N-304,GÃ¶del's Incompleteness 0,MAT,Warum jedes System eine Null-LÃ¼cke benÃ¶tigt.,
0_Null,Emergence,Paradoxal,N-305,Turing's Halting Null,TEC,Das Schweigen der Maschine bei Unendlichkeit.,
0_Null,Emergence,Ontologisch,N-306,Church-Turing Baseline,TEC,Die universelle Grenze der Berechenbarkeit.,
0_Null,Emergence,Paradoxal,N-307,P vs. NP Gap Null,MAT,Die ungeklÃ¤rte Distanz zwischen Wissen und Suchen.,
0_Null,Emergence,Dynamisch,N-308,Moore's Law Limit,TEC,Der physikalische Stopp der Skalierung.,
0_Null,Emergence,Paradoxal,N-309,Landauer's Principle 0,PHY,Warum LÃ¶schen WÃ¤rme aus dem Reservoir zieht.,
0_Null,Emergence,Paradoxal,N-310,Maxwell's Demon Reset,PHY,Die Kosten der Wissens-Nullung.,
0_Null,Emergence,Paradoxal,N-311,Boltzmann Brain Null,PHI,Die spontane Ordnung aus dem Rauschen.,
0_Null,Emergence,Paradoxal,N-312,Bekenstein-Bound Min,PHY,Die maximale Dichte der Leere.,
0_Null,Emergence,Ontologisch,N-313,Von Neumann Architecture,TEC,Die Trennung von Information und Reset.,
0_Null,Emergence,Paradoxal,N-314,Quantum Computer Zero,TEC,Superposition als Rechnen in der Null-Matrix.,
0_Null,Emergence,Dynamisch,N-315,Error Correction Null,TEC,Die Wiederherstellung der Baseline durch Redundanz.,
0_Null,Emergence,Dynamisch,N-316,DNA-Transcription 0,PHY,Der Fehler, der zur Evolution wird (Rel0-Zufall).,
0_Null,Emergence,PhÃ¤nomenologisch,N-317,Viral-Eclipse Phase,PHY,Die unsichtbare Ruhezeit der Infektion.,
0_Null,Emergence,Ontologisch,N-318,Stammenzell-Potenz 0,PHY,Die zellulÃ¤re Null vor der Spezialisierung.,
0_Null,Emergence,Ontologisch,N-319,Embryonale Symmetrie,PHY,Die Kugelform als morphogenetischer Ursprung.,
0_Null,Emergence,Dynamisch,N-320,Epigenetischer Marker 0,PHY,Die stummschaltung des Genoms (Silencing).,
0_Null,Emergence,Dynamisch,N-321,Mirror Neuron Silence,PSY,Die Resonanz ohne eigene Handlung.,
0_Null,Emergence,PhÃ¤nomenologisch,N-322,Flow-State (Ego Null),PSY,Das Verschwinden der Zeit in der TÃ¤tigkeit.,
0_Null,Emergence,PhÃ¤nomenologisch,N-323,Deep Sleep Delta 0,PSY,Das totale Vergessen als tÃ¤glicher Reset.,
0_Null,Emergence,Paradoxal,N-324,Brain-Machine Gap 0,TEC,Das Verschwinden der Grenze Mensch-Maschine.,
0_Null,Emergence,Ontologisch,N-325,Global Brain Baseline,SOC,Die kollektive Unbestimmtheit des Netzes.,
0_Null,Emergence,Dynamisch,N-326,Social Gravity Zero,SOC,Das Ende des sozialen Zusammenhalts (Anomie).,
0_Null,Emergence,Dynamisch,N-227,Creative Destruction 0,ECO,Der Schmerz des Alten als Keim des Neuen.,
0_Null,Emergence,PhÃ¤nomenologisch,N-328,Paradigm Shift 0,PHI,Die Entwertung des Wissens vor der Revolution.,
0_Null,Emergence,PhÃ¤nomenologisch,N-329,Science Revolution 0,PHI,Der Moment des Zweifels an der Baseline.,
0_Null,Emergence,Dynamisch,N-330,Technological S-Curve,TEC,Das Verharren vor dem nÃ¤chsten Sprung.,
0_Null,Emergence,Dynamisch,N-331,Exponential-Explosion,MAT,Wenn die Null-Abweichung alles sprengt.,
0_Null,Emergence,Paradoxal,N-332,Fractal Dimension 0,MAT,Das Nichts zwischen den Dimensionen.,
0_Null,Emergence,Ontologisch,N-333,The Universal Reset,PHI,Die RÃ¼ckkehr aller Information in das reine Rel0-Potenzial.,
0_Null,Audit,General,NA-001,Markt-Gleichgewicht,PHY,Potenzial-Nullpunkt der Markt-Interaktion.,Nash 1950
0_Null,Audit,General,NA-002,KapazitÃ¤ts-Nullpunkt,PHY,Operative Grenze als energetisches Minimum (Rel0).,Erlang 1909
0_Null,Audit,General,NA-003,Zins-Nullpunkt,PHY,Paradoxie als Ãœbergang in relationales System.,Fisher 1930
0_Null,Audit,General,NA-004,WÃ¤hrungs-Reset,PHY,RÃ¼ckfÃ¼hrung der Info auf die Ur-Baseline.,Ricardo 1817
0_Null,Audit,General,NA-005,Markt-Bereinigung,PHY,SchÃ¶pferische Kraft des Ã¶konomischen Nichts.,Schumpeter 1942
0_Null,Audit,General,NA-006,Takt-Pause,PHY,Informelle Bedeutung der Stille als Taktgeber.,Cady 1922
0_Null,Audit,General,NA-007,Eich-Freiheit,PHY,WillkÃ¼rfreiheit des Nullpunkts (Symmetrie).,Weyl 1918
0_Null,Audit,General,NA-008,Standard-Zustand Null,PHY,Materielle NeutralitÃ¤t als Mess-Referenz.,Soddy 1913
0_Null,Audit,General,NA-009,Isotropie der Leere,PHY,Gleichverteilung der Null-Baseline im Raum.,Penzias 1965
0_Null,Audit,General,NA-010,Vakuum-Energie Baseline,PHY,Energetisches Reservoir aller Manifestation.,Casimir 1948
0_Null,Audit,General,NA-011,Vakuum-Fluktuation,PHY,StÃ¤ndiges Rauschen der Null (ZLS-P).,Wheeler 1990
0_Null,Audit,General,NA-012,Kopplungs-Nullpunkt,PHY,Grenze der Wechselwirkung zum Reservoir.,Sommerfeld 1916
0_Null,Audit,General,NA-013,Skalen-Nullpunkt,PHY,Atomare Grenze der Teilbarkeit (SchlieÃŸung).,Planck 1899
0_Null,Audit,General,NA-014,TrÃ¤gheit Null,PHY,Trennung von Masse-0 und Update-Limit (c).,Einstein 1905
0_Null,Audit,General,NA-015,Wirkungs-Audit Null,PHY,Nicht-Existenz von Unendlichkeiten am Minimum.,Planck 1900
0_Null,Audit,General,NA-016,Potential-Diff. Null,PHY,Zustand balancierter Einheiten (Equilibrium).,Josephson 1962
0_Null,Audit,General,NA-017,Entropie-Senke Null,PHY,RÃ¼ckfÃ¼hrung von WÃ¤rme in die Stille.,Clausius 1850
0_Null,Audit,General,NA-018,Synchronisation Null,PHY,Startpunkt ohne Phasenverschiebung.,Huygens 1665
0_Null,Audit,General,NA-019,Asymmetrie Null,PHY,Perfekte Ausbalancierung der KrÃ¤fte.,Noether 1918
0_Null,Audit,General,NA-020,Feld-Abklingen Null,PHY,Reservoir als Senke fÃ¼r Fernwirkung.,Higgs 1964
0_Null,Audit,General,NA-021,Normalverteilung Null,PHY,Erwartungswert als statistischer Anker.,Gauss 1809
0_Null,Audit,General,NA-022,Zeit-Intervall Null,PHY,SingulÃ¤re PrÃ¤senz des "Jetzt".,Zeno ~450 BC
0_Null,Audit,General,NA-023,KrÃ¼mmung Null,PHY,Ideale Geometrie als Baseline-Beweis.,Guth 1981
0_Null,Audit,General,NA-024,Widerstand Null,PHY,Reibungsfreier Fluss als reine Relation.,Bloch 1928
0_Null,Audit,General,NA-025,SingularitÃ¤ts-Reset,PHY,Heilung der Unendlichkeit durch Null-RÃ¼ckfÃ¼hrung.,Hilbert 1900
0_Null,Audit,General,NA-026,Default-State Null,PHY,SchÃ¶pferisches Stillstehen des Bewusstseins.,Raichle 2001
0_Null,Audit,General,NA-027,Anomalie-Senke Null,PHY,Verschwinden von Fehlern in der Unendlichkeit.,Laplace 1814
0_Null,Audit,General,NA-028,Referenz-Null,PHY,Absolute Untergrenze des thermischen Ankers.,Kelvin 1848
0_Null,Audit,General,NA-029,Tabula Rasa Potenzial,PHY,Bedingung fÃ¼r Bildung (unbeschriebener Raum).,Locke 1689
0_Null,Audit,General,NA-030,Null-Versuch,PHY,Leer-Beweis zur Sicherung der IntegritÃ¤t.,Popper 1934
0_Null,Audit,General,NA-031,Initial-Reset,PHY,Wiederherstellung der Baseline zur Heilung.,Von Neumann 1945
0_Null,Audit,General,NA-032,Default-Config,PHY,Ausgangszustand der Unschuld logischer Systeme.,Hoare 1965
0_Null,Audit,General,NA-033,Null-Korrelation,PHY,Totale Freiheit zweier PhÃ¤nomene.,Pearson 1895
0_Null,Audit,General,NA-034,StationÃ¤re Null,PHY,Ruhe im Zentrum des turbulenten Geschehens.,Prigogine 1980
0_Null,Audit,General,NA-035,Break-Even Stille,PHY,Ãœbergang vom Mangel zum Mehrwert.,Schumpeter 1942
0_Null,Audit,General,NA-036,Schwerpunkt Null,PHY,Unbewegte Mitte rotierender KrÃ¤fte.,Archimedes ~250 BC
0_Null,Audit,General,NA-037,Ladungs-Bilanz Null,PHY,NeutralitÃ¤t als Ziel materieller Ordnung.,Bohr 1913
0_Null,Audit,General,NA-038,Minimal-Weg,PHY,Reibungsfreier Pfad zum energetischen Optimum.,Lagrange 1788
0_Null,Audit,General,NA-039,Isomorphie-Kern Null,PHY,Identisches Nichts im Zentrum der Bauformen.,Mac Lane 1971
0_Null,Audit,General,NA-040,Invariante Null,PHY,UnzerstÃ¶rbarkeit unter Verformung.,PoincarÃ© 1895
0_Null,Audit,General,NA-041,Factory-Reset Global,PHY,RÃ¼ckfÃ¼hrung auf den Natur-Zustand.,Mill 1859
0_Null,Audit,General,NA-042,Leerer Header,PHY,Abwesenheit von Info als Reset-Befehl.,Shannon 1948
0_Null,Audit,General,NA-043,Null-Pointer Schutz,PHY,Trennung von RealitÃ¤t und logischem Vakuum.,Knuth 1968
0_Null,Audit,General,NA-044,Sentinel-Stopp Null,PHY,Definierter Abschluss des Datenflusses.,Knuth 1968
0_Null,Audit,General,NA-045,Meditation (Leere),PHY,Heilung des Mentals durch Null-Nutzung.,Patanjali ~200 BC
0_Null,Audit,General,NA-046,Emotionale Null-Linie,PHY,Vorurteilsfreier Grundzustand der Wahrnehmung.,Hume 1739
0_Null,Audit,General,NA-047,Adaptations-Reset,PHY,LÃ¶schung irrelevanter Reiz-Information.,Pavlov 1927
0_Null,Audit,General,NA-048,Schwelle Null,PHY,Punkt, an dem Einwirkung Form erzeugt.,Fechner 1860
0_Null,Audit,General,NA-049,AuslÃ¶schung (Interfer.),PHY,Destruktive Harmonie zur neuen Baseline.,Young 1801
0_Null,Audit,General,NA-050,Sunyata-IdentitÃ¤t,PHY,Leere als Ur-Substanz aller Manifestation.,Nagarjuna ~200 CE
0_Null,Audit,General,NA-051,4er-Split: Zeit-Impact,PHY,StÃ¶rung der Null-Ruhe durch externen Zeitdruck,Einstein 1905
0_Null,Audit,General,NA-052,4er-Split: Starres Gitter,PHY,Blockade des Potenzial-Flusses durch Statik,PoincarÃ© 1902
0_Null,Audit,General,NA-053,4er-Split: Kern-Dogma,PHY,Fixierung der IdentitÃ¤t gegen das Reservoir,Jung 1934
0_Null,Audit,General,NA-054,4er-Split: Massen-Last,PHY,DÃ¤mpfung der Rel0-Resonanz durch TrÃ¤gheit,Hawking 1974
0_Null,Audit,General,NA-055,5er-Split: Euler-Check,PHY,Trennung von Null-Punkt und Wachstum (e),Euler 1748
0_Null,Audit,General,NA-060,5er-Split: Bio-Metabol.,PHY,NÃ¤hrstoff-Baseline vs. Energetischer Drang,Schroedinger 1944
0_Null,Audit,General,NA-065,5er-Split: Kosm. Void,PHY,Das Nichts als Expansions-Motor (Rel0),Kaku 2021
0_Null,Audit,General,NA-066,Gleichmut-Baseline,PHY,Stoizismus gegenÃ¼ber Welt-Fluktuationen.,Epictetus ~100 CE
0_Null,Audit,General,NA-067,PrÃ¤senz-Nullpunkt,PHY,Zeitloses Stehen in der Mitte (Dasein).,Heidegger 1927
0_Null,Audit,General,NA-068,Zero-Knowledge Proof,PHY,Wahrheit ohne Informationspreisgabe.,Goldwasser 1985
0_Null,Audit,General,NA-069,Net-Zero Sustain,PHY,Energetische NeutralitÃ¤t als Ziel.,Paris Agreement
0_Null,Audit,General,NA-070,Zero-Config Harmony,PHY,Anschluss ohne StÃ¶rung des Welt-Gitters.,Wiener 1948
0_Null,Audit,General,NA-071,Latenz Null,PHY,IdentitÃ¤t von Ereignis und Taktung.,Lamport 1978
0_Null,Audit,General,NA-072,Fail-Safe Baseline,PHY,RÃ¼ckzug auf das schÃ¼tzende Minimum.,Anderson 2001
0_Null,Audit,General,NA-073,Agreeing to Disagree,PHY,Kooperation trotz Divergenz (Rel0).,Aumann 1976
0_Null,Audit,General,NA-074,Abfall Null,PHY,SchlieÃŸung der Materie-Relation.,McDonough 2002
0_Null,Audit,General,NA-075,Carbon Neutral Zero,PHY,Verschwinden der Einwirkung in der Bilanz.,Paris Agreement
0_Null,Audit,General,NA-076,DNA Mutation 0,PHY,Prozessualer Stillstand als Evolutions-Ende.,Watson 1953
0_Null,Audit,General,NA-077,Bio-HomÃ¶ostase Null,PHY,Balancierte Vitalwerte (Ãœberleben).,Cannon 1929
0_Null,Audit,General,NA-078,Toleranz-Nullpunkt,PHY,PrÃ¤zision der Norm als Welt-Anker.,BIPM Standard
0_Null,Audit,General,NA-079,Zeit-Offset Null,PHY,Radikale Gleichzeitigkeit (Sync).,IEEE 1588
0_Null,Audit,General,NA-080,Root-Zone Null,PHY,Leere Referenz im Namensraum-Zentrum.,Postel 1981
0_Null,Audit,General,NA-081,Handshake Reset,PHY,Erwartung des Signals in leerer Leitung.,Cerf/Kahn 1974
0_Null,Audit,General,NA-082,Rechts-Vakuum,PHY,Freiheit dort, wo das Gesetz schweigt.,Kelsen 1934
0_Null,Audit,General,NA-083,WÃ¼rde-Schutz Baseline,PHY,Unantastbare Untergrenze der Interaktion.,UN Decl. 1948
0_Null,Audit,General,NA-084,Axiomat. Nullpunkt,PHY,Unbeweisbarer Startpunkt der Logik.,Aristoteles
0_Null,Audit,General,NA-085,Schnittpunkt Null,PHY,Zentrum jeder Koordinaten-SchlieÃŸung.,Descartes 1637
0_Null,Audit,General,NA-086,UnitaritÃ¤ts-Erhalt,PHY,Verbot von Info-Verlust im Quantengitter.,SchrÃ¶dinger 1935
0_Null,Audit,General,NA-087,Feld-NeutralitÃ¤t,PHY,AuslÃ¶schung entgegengesetzter Spannungen.,Maxwell 1864
0_Null,Audit,General,NA-088,Gravitat. Baseline,PHY,KrÃ¼mmungsfreiheit im fernen Raum.,Newton 1687
0_Null,Audit,General,NA-089,Zeit-Dilatation Null,PHY,SynchronitÃ¤t im mitbewegten System.,Einstein 1905
0_Null,Audit,General,NA-090,Invarianz-Null,PHY,Gesetz-IdentitÃ¤t bei LageÃ¤nderung.,Lorentz 1904
0_Null,Audit,General,NA-091,Ã„quivalenz-Diff 0,PHY,Keine LÃ¼cke im Gravitations-Modell.,Einstein 1915
0_Null,Audit,General,NA-092,GeodÃ¤ten-Minimum,PHY,Widerstandsfreier Weg durch Raumzeit.,Riemann 1854
0_Null,Audit,General,NA-093,Schwarzschild-Rand,PHY,Manifeste Zeit im Stillstand.,Schwarzschild
0_Null,Audit,General,NA-094,Horizont-SchlieÃŸung,PHY,Info-Verlust in der SingularitÃ¤ts-Null.,Thorne 1994
0_Null,Audit,General,NA-095,Kosm. Konstante 0,PHY,Balance der ExpansionskrÃ¤fte.,Hubble 1929
0_Null,Audit,General,NA-096,Expansion-Scale 0,PHY,Normierter Faktor am Startpunkt.,Friedmann 1922
0_Null,Audit,General,NA-097,Dark Energy Druck,PHY,Reservoir-Druck auf das Universum.,Kaku 2021
0_Null,Audit,General,NA-098,TrÃ¤gheit-Schleife 0,PHY,Echo des Kosmos im Lokalen (Mach).,Mach 1883
0_Null,Audit,General,NA-099,Existenz-Axiom Null,PHY,Gewissheit des Seins jenseits der Form.,Kant 1781
0_Null,Audit,General,NA-100,Planck-Volumen Null,PHY,Radikale UnschÃ¤rfe am Plancktakt.,Wheeler 1957
1_Unity,Baseline,Strukturell,U-116,Standard-Modell (Physik),PHY,Die konsistente Einheit der Elementarteilchen.,CERN 2012
1_Unity,Baseline,Strukturell,U-117,Periodensystem (PSE),PHY,Die strukturelle Einheit der chemischen Elemente.,Mendelejew 1869
1_Unity,Baseline,Strukturell,U-118,Euklidischer Raum,MAT,Die geometrische Einheit der Raumanschauung.,Euklid
1_Unity,Baseline,Strukturell,U-119,Newtonsche Mechanik,PHY,Die klassische Einheit von Kraft und Bewegung.,Newton 1687
1_Unity,Baseline,Strukturell,U-120,Maxwell-Gleichungen,PHY,Die elektrodynamische Einheit von Feld und Strom.,Maxwell 1864
1_Unity,Baseline,Strukturell,U-121,Thermodynamik (Gleichgew.),PHY,Die energetische Einheit abgeschlossener Systeme.,Boltzmann 1872
1_Unity,Baseline,Strukturell,U-122,Hilbert-Raum,MAT,Die algebraische Einheit der QuantenzustÃ¤nde.,Hilbert 1900
1_Unity,Baseline,Strukturell,U-123,Riemannsche Geometrie,MAT,Die metrische Einheit gekrÃ¼mmter RÃ¤ume.,Riemann 1854
1_Unity,Baseline,Strukturell,U-124,Lie-Algebren,MAT,Die strukturelle Einheit kontinuierlicher Symmetrien.,Lie 1888
1_Unity,Baseline,Strukturell,U-125,Kategorientheorie,MAT,Die universelle Einheit mathematischer Strukturen.,Eilenberg 1945
1_Unity,Baseline,Strukturell,U-126,Turing-VollstÃ¤ndigkeit,TEC,Die logische Einheit der Berechenbarkeit.,Turing 1936
1_Unity,Baseline,Strukturell,U-127,Von-Neumann-Architektur,TEC,Die funktionale Einheit von Programmen und Daten.,Von Neumann 1945
1_Unity,Baseline,Strukturell,U-128,TCP/IP Protokollstack,TEC,Die kommunikative Einheit des Internets.,Cerf/Kahn 1974
1_Unity,Baseline,Strukturell,U-129,ISO/OSI Referenzmodell,TEC,Die hierarchische Einheit der Netzwerkschichten.,ISO 1984
1_Unity,Baseline,Strukturell,U-130,Relationales Datenmodell,TEC,Die logische Einheit strukturierter Information.,Codd 1970
1_Unity,Baseline,Strukturell,U-131,Unicode (UTF-8),TEC,Die globale Einheit der Zeichenkodierung.,Unicode Cons.
1_Unity,Baseline,Strukturell,U-132,Blockchain (Consensus),TEC,Die dezentrale Einheit der Transaktionswahrheit.,Nakamoto 2008
1_Unity,Baseline,Strukturell,U-133,Git (Versionierung),TEC,Die kohÃ¤rente Einheit der Code-Entwicklung.,Torvalds 2005
1_Unity,Baseline,Strukturell,U-134,Docker (Container),TEC,Die isolierte Einheit softwaretechnischer Laufzeit.,Hykes 2013
1_Unity,Baseline,Strukturell,U-135,Kubernetes (Orchestr.),TEC,Die skalierbare Einheit verteilter Systeme.,Google 2014
1_Unity,Baseline,Strukturell,U-136,REST/GraphQL API,TEC,Die standardisierte Einheit der Datenschnittstelle.,Fielding 2000
1_Unity,Baseline,Strukturell,U-137,Semantisches Web (RDF),TEC,Die logische Einheit vernetzter Bedeutung.,Berners-Lee 2001
1_Unity,Baseline,Strukturell,U-138,Deep Learning (Weights),TEC,Die numerische Einheit kÃ¼nstlicher Intelligenz.,LeCun 2012
1_Unity,Baseline,Strukturell,U-139,Transformer Architekt.,TEC,Die Aufmerksamkeitseinheit der Sprachmodelle.,Vaswani 2017
1_Unity,Baseline,Strukturell,U-140,Standard-Goldunze,ECO,Die historische Einheit des Geldwerts.,
1_Unity,Baseline,Strukturell,U-141,Bruttoinlandsprodukt,ECO,Die messbare Einheit der Wirtschaftsleistung.,Kuznets 1934
1_Unity,Baseline,Strukturell,U-142,Zentralbank-System,ECO,Die institutionelle Einheit der WÃ¤hrungsstabilitÃ¤t.,
1_Unity,Baseline,Strukturell,U-143,Welthandelsorg. (WTO),ECO,Die regulatorische Einheit des Welthandels.,
1_Unity,Baseline,Strukturell,U-144,Doppelte BuchfÃ¼hrung,ECO,Die systemische Einheit von Soll und Haben.,Pacioli 1494
1_Unity,Baseline,Strukturell,U-145,Aktienindex (S&P 500),ECO,Die statistische Einheit der Marktentwicklung.,
1_Unity,Baseline,Strukturell,U-146,Supply Chain (Global),ECO,Die logistische Einheit der WarenstrÃ¶me.,
1_Unity,Baseline,Strukturell,U-147,Lean Sigma (0-Fehler),ECO,Die prozessuale Einheit der QualitÃ¤tssicherung.,Smith 1986
1_Unity,Baseline,Strukturell,U-148,UN-Charta,SOC,Die vÃ¶lkerrechtliche Einheit der Weltgemeinschaft.,UN 1945
1_Unity,Baseline,Strukturell,U-149,Menschenrechte (AEMR),SOC,Die ethische Einheit der MenschenwÃ¼rde.,UN 1948
1_Unity,Baseline,Strukturell,U-150,Rechtsstaatlichkeit,SOC,Die normative Einheit vor dem Gesetz.,Kant 1797
1_Unity,Baseline,Strukturell,U-151,Demokratischer Diskurs,SOC,Die deliberative Einheit der politischen Willensbildung.,Habermas 1981
1_Unity,Baseline,Strukturell,U-152,Soziale Marktwirtschaft,SOC,Die integrative Einheit von Freiheit und Ausgleich.,Erhard 1957
